查询目标,样本SHA256,环境,文件名称,文件类型,文件路径,文件SHA256
xiaoshihou.name,c09416d5993cedf0b282b86f32dc8c3177e05b30772edf22c07690d1b469828a,"Win10(1903 64bit,Office2016)",{3DA71D5A20CC432FA115DFE92379E91F}.3.ver0x0000000000000095.db,data,C:\Users\Administrator\AppData\Local\Microsoft\Windows\Caches\{3DA71D5A-20CC-432F-A115-DFE92379E91F}.3.ver0x0000000000000095.db,9057a2d0a5fb3f34f923e2f4d84044ef24399b22f38b614fe111aa2065a82ed4
xiaoshihou.name,c09416d5993cedf0b282b86f32dc8c3177e05b30772edf22c07690d1b469828a,"Win10(1903 64bit,Office2016)",_setup64.tmp,"PE32+ executable (console) x86-64, for MS Windows",C:\Users\Administrator\AppData\Local\Temp\is-E5HHD.tmp\_isetup\_setup64.tmp,388a796580234efc95f3b1c70ad4cb44bfddc7ba0f9203bf4902b9929b136f95
xiaoshihou.name,c09416d5993cedf0b282b86f32dc8c3177e05b30772edf22c07690d1b469828a,"Win10(1903 64bit,Office2016)",dayinjiDriveinstalil.tmp,"PE32 executable (GUI) Intel 80386, for MS Windows",C:\Users\Administrator\AppData\Local\Temp\is-JPOKB.tmp\dayinjiDriveinstalil.tmp,851d2166ab2ad8ee52eccf65e4bc8d7ea185e4af7328678f00d7f7bd8b16c42d
xiaoshihou.name,c09416d5993cedf0b282b86f32dc8c3177e05b30772edf22c07690d1b469828a,"Win10(1903 64bit,Office2016)",is5MGMP.tmp,"PE32 executable (GUI) Intel 80386, for MS Windows",C:\Users\Administrator\AppData\Local\is-5MGMP.tmp,cda8b736e806eeabe8dad68faafe37749bc7ea88b6a3fd03db8b53513ec0cbfc
xiaoshihou.name,c09416d5993cedf0b282b86f32dc8c3177e05b30772edf22c07690d1b469828a,"Win10(1903 64bit,Office2016)",isNS9ST.tmp,"PE32 executable (GUI) Intel 80386, for MS Windows",C:\Users\Administrator\AppData\Local\is-NS9ST.tmp,9aad3dc5a617ce1643b241b5616aeeecd9722db5db030c242d2291d19de39529
