文件名称,类型,扫描时间,SHA256,多引擎检出,木马家族和类型,威胁等级
cy5YCBff.zip,Zip,2025-12-05 13:00:54,fead24d8cf10610d6a22e1071cd8799fdf7a099128daa19ac1ec22a9335d9e0b,3 / 28,Agent木马,恶意
cz51N0i7.zip,Zip,2025-12-07 00:46:56,ffa7421cba22cd969f44de31565cb7da756c6c6221e6b2319ce0e0d6a4ae4089,4 / 28,Agent木马,恶意
EfmwdZdb.rar,RAR,2025-12-07 00:47:12,5936459216b868c3bc8a2bc53da0685ffd248dc0c88151d2ad21a5e2060ffa2e,4 / 28,Agent木马,恶意
dayinjiDriveinstalil.exe,EXEx86,2025-12-05 15:55:42,c09416d5993cedf0b282b86f32dc8c3177e05b30772edf22c07690d1b469828a,1 / 28,MalGeneric恶意软件,恶意
PGErJ987.zip,Zip,2025-12-07 00:47:44,bfab031b62decc0092bba81b78bc6dbc0fa9a99401ee987700f2d3b00400afa6,4 / 28,Agent木马,恶意
